"anio","mes","tot_Extorsion","tot_Homicidio","tot_Resto","tot_Robo_vehi","tot_Secuestro","tot_incid","tot_pob","tasa_incid","tasa_homic","tasa_extor","tasa_secue"
2007,12,229,838,105309,14794,47,121217,108744845,111.469191941926,0.77061124138804,0.210584694842316,0.0432204395527898
2008,1,274,932,113656,15778,52,130692,110405454,118.374586820684,0.844161195152551,0.248176145356008,0.0470991224763226
2008,2,285,866,115671,15008,54,131884,110405454,119.454243628218,0.784381539701834,0.25813942126446,0.0489106271869504
2008,3,284,987,117386,15599,67,134323,110405454,121.663373622828,0.893977574694815,0.257233668909146,0.060685407806031
2008,4,366,961,123158,15531,73,140089,110405454,126.885941703568,0.870428013456654,0.331505362044886,0.0661199219379144
2008,5,423,1159,125714,16088,60,143444,110405454,129.924740855646,1.04976697980881,0.383133246297778,0.0543451413188338
2008,6,379,1118,121211,15751,65,138524,110405454,125.468439267502,1.01263113324094,0.343280142663967,0.0588739030954032
2008,7,390,1154,115760,16371,67,133742,110405454,121.137131504391,1.04523821803224,0.353243418572419,0.060685407806031
2008,8,428,1120,117062,17346,74,136030,110405454,123.209492893349,1.01444263795156,0.387662008074347,0.0670256742932283
2008,9,471,1074,123590,15987,82,141204,110405454,127.895855579743,0.972778029607124,0.426609359352845,0.0742716931357395
2008,10,597,1275,123728,17441,90,143131,110405454,129.641240368433,1.15483425302522,0.540734156122396,0.0815177119782506
2008,11,516,1330,111360,16340,124,129670,110405454,117.448907913553,1.20465063256748,0.46736821534197,0.112313292058923
2008,12,456,1179,107010,16577,99,125321,110405454,113.509790920293,1.06788202691508,0.413023074023137,0.0896694831760757
2009,1,557,1184,115993,17735,94,135563,112095388,120.935394772888,1.0562432773773,0.496898230995909,0.0838571520890761
2009,2,532,1266,115710,16064,109,133681,112095388,119.256467536381,1.12939526111458,0.474595796929665,0.0972386125288223
2009,3,591,1193,127856,17050,116,146806,112095388,130.965245421159,1.06427215364115,0.527229541326,0.103483294067371
2009,4,533,1232,118785,15516,72,136138,112095388,121.448350756411,1.09906395078449,0.475487894292315,0.0642310101107817
2009,5,452,1268,122132,16704,105,140661,112095388,125.483307127676,1.13117945583988,0.403228007917685,0.0936702230782233
2009,6,536,1400,128746,16351,87,147120,112095388,131.245363993031,1.24893630770964,0.478164186380264,0.0776124705505279
2009,7,522,1375,124341,16954,112,143304,112095388,127.841120457159,1.2266338736434,0.465674823303167,0.0999149046167716
2009,8,488,1439,120949,16501,94,139471,112095388,124.421711266123,1.28372810485298,0.435343512973076,0.0838571520890761
2009,9,581,1478,117972,16928,86,137045,112095388,122.257483064334,1.31851990199632,0.518308567699503,0.0767203731878782
2009,10,548,1358,125401,17681,89,145077,112095388,129.422809081137,1.21146821847836,0.488869354732061,0.0793966652758274
2009,11,504,1349,112643,16774,89,131359,112095388,117.185017460308,1.20343934221451,0.449617070775472,0.0793966652758274
2009,12,488,1576,109325,18069,109,129567,112095388,115.58637898644,1.405945443536,0.435343512973076,0.0972386125288223
2010,1,583,1565,112582,18846,104,133680,113748671,117.52225219405,1.37584025047642,0.512533460720609,0.0914296396482733
2010,2,540,1310,116193,17652,95,135790,113748671,119.377218921529,1.15166180710806,0.47473082125065,0.0835174592940958
2010,3,650,1627,132298,19895,107,154577,113748671,135.8934558453,1.4303463818052,0.571435247801708,0.0940670330996658
2010,4,642,1667,123764,17783,112,143968,113748671,126.566753470025,1.46551162782377,0.564402198597995,0.0984626888519867
2010,5,563,1864,129538,19010,129,151104,113748671,132.840233359737,1.63870046446521,0.494950837711326,0.113407918409878
2010,6,509,1794,127338,18717,116,148474,113748671,130.528118434017,1.57716128393272,0.447477755586261,0.101979213453843
2010,7,505,1762,119738,19363,113,141481,113748671,124.380354298821,1.54902908711786,0.443961230984404,0.0993418200024509
2010,8,489,1822,123775,19882,89,146057,113748671,128.403258443345,1.60177695614571,0.429895132576978,0.0782426723913108
2010,9,418,1662,122299,19576,99,144054,113748671,126.642358748965,1.46111597207145,0.367476820894022,0.0870339838959525
2010,10,439,1903,124735,20799,91,147967,113748671,130.082398940731,1.67298657933331,0.385938575053769,0.0800009346922392
2010,11,400,1526,117209,20502,90,139727,113748671,122.838358260907,1.34155413560832,0.351652460185667,0.079121803541775
2010,12,378,1641,111448,20282,78,133827,113748671,117.651484473168,1.4426542179117,0.332311574875455,0.068572229736205
2011,1,356,1836,113468,20872,113,136645,115367452,118.443285026352,1.59143672515191,0.308579234288714,0.0979479030186087
2011,2,351,1660,116323,19385,115,137834,115367452,119.473904997052,1.43888069921142,0.304245256279041,0.0996814942224779
2011,3,406,1838,134359,21410,120,158133,115367452,137.068988920723,1.59317031635578,0.351919014385444,0.104015472232151
2011,4,320,1835,122544,17838,118,142655,115367452,123.652726593979,1.59056992954997,0.277374592619069,0.102281881028282
2011,5,405,2108,130504,20019,134,153170,115367452,132.767082348321,1.82720512887812,0.351052218783509,0.116150610659235
2011,6,406,2009,128088,18741,120,149364,115367452,129.468058287358,1.74139236428659,0.351919014385444,0.104015472232151
2011,7,369,1974,121881,19507,105,143836,115367452,124.676412199864,1.71105451821888,0.319847577113864,0.091013538203132
2011,8,378,1977,130069,19651,143,152218,115367452,131.94189293528,1.71365490502469,0.327648737531275,0.123951771076646
2011,9,425,1836,126490,19351,129,148231,115367452,128.485978870366,1.59143672515191,0.368388130822201,0.111816632649562
2011,10,371,1926,124229,18953,130,145609,115367452,126.213240802094,1.66944832932602,0.321581168317733,0.112683428251497
2011,11,397,1708,119395,18698,103,140301,115367452,121.612289747025,1.48048688810428,0.344117853968033,0.0892799469992628
2011,12,405,1702,112492,18537,103,133239,115367452,115.490979206163,1.47528611449267,0.351052218783509,0.0892799469992628
